Tournament,Matchday,Date,Venue,Club,Opponent,Result,Position,Minute,When Scored,Goal Type,Assist
LaLiga ,8,10/23/10,Away,FC Barcelona,Real Zaragoza,0:2,CF,65',0:2,Left-footed shot,Not Applicable
LaLiga ,9,10/30/10,Home,FC Barcelona,Sevilla FC,5:0,RW,4',1:0,Left-footed shot,Not Applicable
LaLiga ,9,10/30/10,Home,FC Barcelona,Sevilla FC,5:0,RW,63',4:0,Left-footed shot,Not Applicable
UEFA Champions League ,Gruppenphase,11/2/10,Away,FC Barcelona,FC Copenhagen,1:1,RW,31',0:1,Right-footed shot,Not Applicable
LaLiga ,10,11/7/10,Away,FC Barcelona,Getafe CF,1:3,CF,23',0:1,Left-footed shot,David Villa
Copa del Rey ,4.Runde,11/10/10,Home,FC Barcelona,Club Atlético de Ceuta,5:1,RW,67',5:1,Left-footed shot,Thiago Alcántara
LaLiga ,11,11/13/10,Home,FC Barcelona,Villarreal CF,3:1,CF,58',2:1,Right-footed shot,Pedro
LaLiga ,11,11/13/10,Home,FC Barcelona,Villarreal CF,3:1,CF,83',3:1,Left-footed shot,Pedro
LaLiga ,12,11/20/10,Away,FC Barcelona,UD Almería,0:8,CF,16',0:1,Left-footed shot,David Villa
LaLiga ,12,11/20/10,Away,FC Barcelona,UD Almería,0:8,CF,36',0:5,Tap-in,Not Applicable
LaLiga ,12,11/20/10,Away,FC Barcelona,UD Almería,0:8,CF,67',0:7,Tap-in,David Villa
UEFA Champions League ,Gruppenphase,11/24/10,Away,FC Barcelona,Panathinaikos FC,0:3,CF,63',0:2,Left-footed shot,Adriano
LaLiga ,14,12/4/10,Away,FC Barcelona,CA Osasuna,0:3,CF,64',0:2,Left-footed shot,David Villa
LaLiga ,14,12/4/10,Away,FC Barcelona,CA Osasuna,0:3,CF,82',0:3,Penalty,Not Applicable
LaLiga ,15,12/12/10,Home,FC Barcelona,Real Sociedad,5:0,CF,46',3:0,Left-footed shot,Dani Alves
LaLiga ,15,12/12/10,Home,FC Barcelona,Real Sociedad,5:0,CF,86',4:0,Left-footed shot,Bojan Krkic
LaLiga ,18,1/8/11,Away,FC Barcelona,Deportivo de La Coruña,0:4,CF,51',0:2,Direct free kick,Not Applicable
Copa del Rey ,Viertelfinale,1/12/11,Home,FC Barcelona,Real Betis Balompié,5:0,CF,44',1:0,Left-footed shot,Andrés Iniesta
Copa del Rey ,Viertelfinale,1/12/11,Home,FC Barcelona,Real Betis Balompié,5:0,CF,63',2:0,Left-footed shot,Not Applicable
Copa del Rey ,Viertelfinale,1/12/11,Home,FC Barcelona,Real Betis Balompié,5:0,CF,73',3:0,Left-footed shot,Xavi
Copa del Rey ,Viertelfinale,1/19/11,Away,FC Barcelona,Real Betis Balompié,3:1,RW,37',2:1,Left-footed shot,Xavi
LaLiga ,20,1/22/11,Home,FC Barcelona,Racing Santander,3:0,CF,33',2:0,Penalty,Not Applicable
